Date,fx_kes_usd,fuel_price_usd,inflation_rate,interest_rate
2003-12-01,75.69999694824219,,9.81569062979654,10.585243326167404
2003-12-02,75.58000183105469,,9.81569062979654,10.585243326167404
2003-12-03,76.05000305175781,,9.81569062979654,10.585243326167404
2003-12-04,76.30000305175781,,9.81569062979654,10.585243326167404
2003-12-05,75.9000015258789,,9.81569062979654,10.585243326167404
2003-12-08,75.93000030517578,,9.81569062979654,10.585243326167404
2003-12-09,75.5999984741211,,9.81569062979654,10.585243326167404
2003-12-10,75.2699966430664,,9.81569062979654,10.585243326167404
2003-12-11,75.44999694824219,,9.81569062979654,10.585243326167404
2003-12-12,75.4000015258789,,9.81569062979654,10.585243326167404
2003-12-15,75.47000122070312,,9.81569062979654,10.585243326167404
2003-12-16,75.55000305175781,,9.81569062979654,10.585243326167404
2003-12-17,75.76000213623047,,9.81569062979654,10.585243326167404
2003-12-18,75.5,,9.81569062979654,10.585243326167404
2003-12-19,75.4000015258789,,9.81569062979654,10.585243326167404
2003-12-22,75.30000305175781,,9.81569062979654,10.585243326167404
2003-12-23,75.44999694824219,,9.81569062979654,10.585243326167404
2003-12-24,75.25,,9.81569062979654,10.585243326167404
2003-12-25,75.25,,9.81569062979654,10.585243326167404
2003-12-29,75.75,,9.81569062979654,10.585243326167404
2003-12-30,75.75,,9.81569062979654,10.585243326167404
2003-12-31,75.75,,9.81569062979654,10.585243326167404
2004-01-01,75.75,,11.6240355442426,5.716205044866802
2004-01-02,75.69999694824219,,11.6240355442426,5.716205044866802
2004-01-05,75.83000183105469,,11.6240355442426,5.716205044866802
2004-01-06,75.72000122070312,,11.6240355442426,5.716205044866802
2004-01-07,75.72000122070312,,11.6240355442426,5.716205044866802
2004-01-08,75.6500015258789,,11.6240355442426,5.716205044866802
2004-01-09,75.68000030517578,,11.6240355442426,5.716205044866802
2004-01-12,75.68000030517578,,11.6240355442426,5.716205044866802
2004-01-13,75.62999725341797,,11.6240355442426,5.716205044866802
2004-01-14,75.87000274658203,,11.6240355442426,5.716205044866802
2004-01-15,75.87000274658203,,11.6240355442426,5.716205044866802
2004-01-16,75.80000305175781,,11.6240355442426,5.716205044866802
2004-01-19,75.9000015258789,,11.6240355442426,5.716205044866802
2004-01-20,76.0,,11.6240355442426,5.716205044866802
2004-01-21,76.25,,11.6240355442426,5.716205044866802
2004-01-22,76.4000015258789,,11.6240355442426,5.716205044866802
2004-01-23,76.08000183105469,,11.6240355442426,5.716205044866802
2004-01-26,76.08000183105469,,11.6240355442426,5.716205044866802
2004-01-27,76.08000183105469,,11.6240355442426,5.716205044866802
2004-01-28,76.0999984741211,,11.6240355442426,5.716205044866802
2004-01-29,76.05000305175781,,11.6240355442426,5.716205044866802
2004-01-30,76.1500015258789,,11.6240355442426,5.716205044866802
2004-02-02,76.1500015258789,,11.6240355442426,5.716205044866802
2004-02-03,76.10399627685547,,11.6240355442426,5.716205044866802
2004-02-04,76.0,,11.6240355442426,5.716205044866802
2004-02-05,76.0,,11.6240355442426,5.716205044866802
2004-02-06,76.0,,11.6240355442426,5.716205044866802
2004-02-09,75.97000122070312,,11.6240355442426,5.716205044866802
2004-02-10,75.9000015258789,,11.6240355442426,5.716205044866802
2004-02-11,76.05000305175781,,11.6240355442426,5.716205044866802
2004-02-12,76.05000305175781,,11.6240355442426,5.716205044866802
2004-02-13,76.05000305175781,,11.6240355442426,5.716205044866802
2004-02-16,76.0,,11.6240355442426,5.716205044866802
2004-02-17,75.8499984741211,,11.6240355442426,5.716205044866802
2004-02-18,75.8499984741211,,11.6240355442426,5.716205044866802
2004-02-19,76.0,,11.6240355442426,5.716205044866802
2004-02-20,75.99400329589844,,11.6240355442426,5.716205044866802
2004-02-23,76.0,,11.6240355442426,5.716205044866802
2004-02-24,76.05999755859375,,11.6240355442426,5.716205044866802
2004-02-25,76.05999755859375,,11.6240355442426,5.716205044866802
2004-02-26,76.02999877929688,,11.6240355442426,5.716205044866802
2004-02-27,76.0999984741211,,11.6240355442426,5.716205044866802
2004-03-01,76.05000305175781,,11.6240355442426,5.716205044866802
2004-03-02,76.05000305175781,,11.6240355442426,5.716205044866802
2004-03-03,76.3499984741211,,11.6240355442426,5.716205044866802
2004-03-04,76.25,,11.6240355442426,5.716205044866802
2004-03-05,76.4530029296875,,11.6240355442426,5.716205044866802
