Date,fx_kes_usd,fuel_price_usd,inflation_rate,interest_rate,fx_pct_change,fuel_pct_change,inflation_pct_change,interest_pct_change,fx_roll_7,fuel_roll_7,inflation_roll_7,interest_roll_7,fx_roll_30,fuel_roll_30,inflation_roll_30,interest_roll_30,fx_kes_usd_zscore,fuel_price_usd_zscore,inflation_rate_zscore,interest_rate_zscore
2003-12-01,75.69999694824219,,9.81569062979654,10.585243326167404,,,,,,,,,,,,,-0.9105604045295131,,0.2219509705599786,0.6610850236044585
2003-12-02,75.58000183105469,,9.81569062979654,10.585243326167404,-0.15851403173707812,,0.0,0.0,,,,,,,,,-0.9162930344613932,,0.2219509705599786,0.6610850236044585
2003-12-03,76.05000305175781,,9.81569062979654,10.585243326167404,0.6218592343431473,,0.0,0.0,,,,,,,,,-0.8938392619331926,,0.2219509705599786,0.6610850236044585
2003-12-04,76.30000305175781,,9.81569062979654,10.585243326167404,0.32873108477045054,,0.0,0.0,,,,,,,,,-0.8818957969276073,,0.2219509705599786,0.6610850236044585
2003-12-05,75.9000015258789,,9.81569062979654,10.585243326167404,-0.5242483746790483,,0.0,0.0,,,,,,,,,-0.901005413833669,,0.2219509705599786,0.6610850236044585
2003-12-08,75.93000030517578,,9.81569062979654,10.585243326167404,0.039524082600506105,,0.0,0.0,,,,,,,,,-0.899572256350699,,0.2219509705599786,0.6610850236044585
2003-12-09,75.5999984741211,,9.81569062979654,10.585243326167404,-0.4346132355173893,,0.0,0.0,75.86571502685547,,9.81569062979654,10.585243326167404,,,,,-0.9153377176346219,,0.2219509705599786,0.6610850236044585
2003-12-10,75.2699966430664,,9.81569062979654,10.585243326167404,-0.4365103673482862,,0.0,0.0,75.80428641183036,,9.81569062979654,10.585243326167404,,,,,-0.9311031789185449,,0.2219509705599786,0.6610850236044585
2003-12-11,75.44999694824219,,9.81569062979654,10.585243326167404,0.23913951534946243,,0.0,0.0,75.78571428571429,,9.81569062979654,10.585243326167404,,,,,-0.9225038695350984,,0.2219509705599786,0.6610850236044585
2003-12-12,75.4000015258789,,9.81569062979654,10.585243326167404,-0.06626298791977403,,0.0,0.0,75.69285692487445,,9.81569062979654,10.585243326167404,,,,,-0.9248923438448396,,0.2219509705599786,0.6610850236044585
2003-12-15,75.47000122070312,,9.81569062979654,10.585243326167404,0.09283778966528988,,0.0,0.0,75.57428523472377,,9.81569062979654,10.585243326167404,,,,,-0.9215481882227008,,0.2219509705599786,0.6610850236044585
2003-12-16,75.55000305175781,,9.81569062979654,10.585243326167404,0.10600480954112701,,0.0,0.0,75.52428545270648,,9.81569062979654,10.585243326167404,,,,,-0.9177261919443631,,0.2219509705599786,0.6610850236044585
2003-12-17,75.76000213623047,,9.81569062979654,10.585243326167404,0.277960391780252,,0.0,0.0,75.5,,9.81569062979654,10.585243326167404,,,,,-0.9076937250779467,,0.2219509705599786,0.6610850236044585
2003-12-18,75.5,,9.81569062979654,10.585243326167404,-0.3431918280083157,,0.0,0.0,75.48571450369698,,9.81569062979654,10.585243326167404,,,,,-0.9201150307397308,,0.2219509705599786,0.6610850236044585
2003-12-19,75.4000015258789,,9.81569062979654,10.585243326167404,-0.1324483100941687,,0.0,0.0,75.50428662981305,,9.81569062979654,10.585243326167404,,,,,-0.9248923438448396,,0.2219509705599786,0.6610850236044585
2003-12-22,75.30000305175781,,9.81569062979654,10.585243326167404,-0.1326239682989505,,0.0,0.0,75.48285893031529,,9.81569062979654,10.585243326167404,,,,,-0.9296696569499484,,0.2219509705599786,0.6610850236044585
2003-12-23,75.44999694824219,,9.81569062979654,10.585243326167404,0.19919507357957222,,0.0,0.0,75.49000113351005,,9.81569062979654,10.585243326167404,,,,,-0.9225038695350984,,0.2219509705599786,0.6610850236044585
2003-12-24,75.25,,9.81569062979654,10.585243326167404,-0.2650721753897245,,0.0,0.0,75.45857238769531,,9.81569062979654,10.585243326167404,,,,,-0.9320584957453161,,0.2219509705599786,0.6610850236044585
2003-12-25,75.25,,9.81569062979654,10.585243326167404,0.0,,0.0,0.0,75.41571480887276,,9.81569062979654,10.585243326167404,,,,,-0.9320584957453161,,0.2219509705599786,0.6610850236044585
2003-12-29,75.75,,9.81569062979654,10.585243326167404,0.6644518272425293,,0.0,0.0,75.41428593226841,,9.81569062979654,10.585243326167404,,,,,-0.9081715657341455,,0.2219509705599786,0.6610850236044585
2003-12-30,75.75,,9.81569062979654,10.585243326167404,0.0,,0.0,0.0,75.4500002179827,,9.81569062979654,10.585243326167404,,,,,-0.9081715657341455,,0.2219509705599786,0.6610850236044585
2003-12-31,75.75,,9.81569062979654,10.585243326167404,0.0,,0.0,0.0,75.5,,9.81569062979654,10.585243326167404,,,,,-0.9081715657341455,,0.2219509705599786,0.6610850236044585
2004-01-01,75.75,,11.6240355442426,5.716205044866802,0.0,,18.42300234032075,-45.99835952059813,75.56428527832031,,10.074025617574549,9.889666428838748,,,,,-0.9081715657341455,,0.5964097150227547,-0.9422242927931521
