Date,fuel_price_usd,inflation_rate,interest_rate,interest_pct_change,fuel_pct_change,inflation_pct_change,interest_roll_7,fuel_roll_7,inflation_roll_7,interest_roll_30,fuel_roll_30,inflation_roll_30,interest_rate_zscore,fuel_price_usd_zscore,inflation_rate_zscore,fuel_price_usd_pct_change,fuel_price_usd_roll_7,fuel_price_usd_roll_30,inflation_rate_pct_change,inflation_rate_roll_7,inflation_rate_roll_30,interest_rate_pct_change,interest_rate_roll_7,interest_rate_roll_30
2007-08-01,72.69000244140625,9.75888023027529,13.527937603524286,,,,,,,,,,1.5587308299803853,-0.250421170719657,0.2969117373649005,,,,,,,,,
2007-09-01,79.16999816894531,9.75888023027529,13.527937603524286,0.0,8.914562539411719,0.0,,,,,,,1.5587308299803853,0.0290359266053643,0.2969117373649005,,,,,,,,,
2007-10-01,90.62999725341795,9.75888023027529,13.527937603524286,0.0,14.475179170798391,0.0,,,,,,,1.5587308299803853,0.5232612647307621,0.2969117373649005,,,,,,,,,
2007-11-01,88.26000213623047,9.75888023027529,13.527937603524286,0.0,-2.6150228279942955,0.0,,,,,,,1.5587308299803853,0.4210525621371853,0.2969117373649005,,,,,,,,,
2007-12-01,93.8499984741211,9.75888023027529,13.527937603524286,0.0,6.333555634025934,0.0,,,,,,,1.5587308299803853,0.6621274356907954,0.2969117373649005,,,,,,,,,
2008-01-01,92.20999908447266,26.2398166445063,10.612265129175295,-21.552971042603,-1.7474687440731995,168.88142927609323,,,,,,,0.5676478395538052,0.5914006191439559,3.4673778347542177,,,,,,,,,
2008-02-01,100.0999984741211,26.2398166445063,10.612265129175295,0.0,8.55655511114417,0.0,12.69488832513886,88.12999943324498,14.467719205769864,,,,0.5676478395538052,0.9316657088193644,3.4673778347542177,,,,,,,,,
2008-03-01,100.3000030517578,26.2398166445063,10.612265129175295,0.0,0.1998047759095733,0.0,12.278363685946148,92.07428523472376,16.82213869351715,,,,0.5676478395538052,0.9402911309752052,3.4673778347542177,,,,,,,,,
2008-04-01,111.36000061035156,26.2398166445063,10.612265129175295,0.0,11.026916472661007,0.0,11.861839046753436,96.67285701206752,19.17655818126444,,,,0.5676478395538052,1.417265953815133,3.4673778347542177,,,,,,,,,
2008-05-01,127.77999877929688,26.2398166445063,10.612265129175295,0.0,14.744969539286236,0.0,11.44531440756072,101.98000008719308,21.53097766901172,,,,0.5676478395538052,2.1253968260122185,3.4673778347542177,,,,,,,,,
