Date,fuel_price_usd,inflation_rate,interest_rate
2007-08-01,72.69000244140625,9.75888023027529,13.527937603524286
2007-09-01,79.16999816894531,9.75888023027529,13.527937603524286
2007-10-01,90.62999725341795,9.75888023027529,13.527937603524286
2007-11-01,88.26000213623047,9.75888023027529,13.527937603524286
2007-12-01,93.8499984741211,9.75888023027529,13.527937603524286
2008-01-01,92.20999908447266,26.2398166445063,10.612265129175295
2008-02-01,100.0999984741211,26.2398166445063,10.612265129175295
2008-03-01,100.3000030517578,26.2398166445063,10.612265129175295
2008-04-01,111.36000061035156,26.2398166445063,10.612265129175295
2008-05-01,127.77999877929688,26.2398166445063,10.612265129175295
2008-07-01,123.9800033569336,26.2398166445063,10.612265129175295
2008-08-01,114.0500030517578,26.2398166445063,10.612265129175295
2008-09-01,98.16999816894533,26.2398166445063,10.612265129175295
2008-10-01,65.31999969482422,26.2398166445063,10.612265129175295
2008-11-01,53.4900016784668,26.2398166445063,10.612265129175295
2008-12-01,45.59000015258789,26.2398166445063,10.612265129175295
2009-01-01,45.880001068115234,9.23412592394652,11.7887983557565
2009-04-01,51.959999084472656,9.23412592394652,11.7887983557565
2009-05-01,65.5199966430664,9.23412592394652,11.7887983557565
2009-06-01,69.30000305175781,9.23412592394652,11.7887983557565
2009-07-01,71.69999694824219,9.23412592394652,11.7887983557565
2009-08-01,69.6500015258789,9.23412592394652,11.7887983557565
2009-09-01,69.06999969482422,9.23412592394652,11.7887983557565
2009-10-01,75.19999694824219,9.23412592394652,11.7887983557565
2009-12-01,77.93000030517578,9.23412592394652,11.7887983557565
2010-01-01,71.45999908447266,3.96138889115385,4.226429437253827
2010-02-01,77.58999633789062,3.96138889115385,4.226429437253827
2010-03-01,82.69999694824219,3.96138889115385,4.226429437253827
2010-04-01,87.44000244140625,3.96138889115385,4.226429437253827
2010-05-01,74.0199966430664,3.96138889115385,4.226429437253827
2010-06-01,75.01000213623047,3.96138889115385,4.226429437253827
2010-07-01,78.18000030517578,3.96138889115385,4.226429437253827
2010-09-01,82.30999755859375,3.96138889115385,4.226429437253827
2010-10-01,83.1500015258789,3.96138889115385,4.226429437253827
2010-11-01,85.91999816894531,3.96138889115385,4.226429437253827
2010-12-01,94.75,3.96138889115385,4.226429437253827
2011-01-01,101.01000213623048,14.0224913014704,14.669008373781937
2011-02-01,111.8000030517578,14.0224913014704,14.669008373781937
2011-03-01,117.36000061035156,14.0224913014704,14.669008373781937
2011-04-01,125.88999938964844,14.0224913014704,14.669008373781937
2011-06-01,112.4800033569336,14.0224913014704,14.669008373781937
2011-07-01,116.73999786376952,14.0224913014704,14.669008373781937
2011-08-01,114.8499984741211,14.0224913014704,14.669008373781937
2011-09-01,102.76000213623048,14.0224913014704,14.669008373781937
2011-10-01,109.55999755859376,14.0224913014704,14.669008373781937
2011-11-01,110.81999969482422,14.0224913014704,14.669008373781937
2011-12-01,107.37999725341795,14.0224913014704,14.669008373781937
2012-02-01,122.66000366210938,9.37777003547598,13.15686904880464
2012-03-01,122.87999725341795,9.37777003547598,13.15686904880464
2012-05-01,101.87000274658205,9.37777003547598,13.15686904880464
